id,num_contrato,num_estimacion,tipoEstimacion,id_deducion,porcentaje1,importe_deducion,id,nombre_deduccion,porcentaje,fecha,fecha_modificacion
85,SIDUR-PF-15-073.19,1,1,8,0.5,6282.37,8,0.5% INSPECCION Y VIGILANCIA (FEDERAL),0.5,12/06/2013,24/09/2014
86,SIDUR-PF-15-085.16,1,1,8,0.5,1959.36,8,0.5% INSPECCION Y VIGILANCIA (FEDERAL),0.5,12/06/2013,24/09/2014
87,SIDUR-ED-15-042.33,2,1,15,0.2,3889.75,15,0.2% (DOS AL MILLAR) INSTITUTO DE CAPACITACION DE LA INDUSTRIA DE LA CONSTRUCCION,0.2,24/09/2014,
88,SIDUR-ED-15-042.33,2,1,14,0.2,3889.75,14,0.2% INSPECCION Y VIGILANCIA (ESTATAL),0.2,24/09/2014,24/09/2014
89,SIDUR-ED-15-042.33,2,1,13,0.03,583.46,13,15 % INFRAESTRUCTURA EDUCATIVA DEL 0.2% (DOS AL MILLAR) DE INSP. Y VIG. ESTATAL,0.03,02/07/2014,24/09/2014
90,SIDUR-ED-15-042.33,2,1,12,0.03,583.46,12,15 % UNIVERSIDADES DE SONORA DEL 0.2% (DOS AL MILLAR) DE INSP. Y VIG. ESTATAL,0.03,12/06/2013,15/02/2016
91,SIDUR-ED-15-042.33,2,1,11,0.03,583.46,11,15% CECOP DEL 0.2% (DOS AL MILLAR) DE INSP. Y VIG. ESTATAL,0.03,12/06/2013,24/09/2014
92,SIDUR-PF-15-085.16,2,1,8,0.5,1491.91,8,0.5% INSPECCION Y VIGILANCIA (FEDERAL),0.5,12/06/2013,24/09/2014
93,SIDUR-PF-15-075.13,3,1,8,0.5,3616.23,8,0.5% INSPECCION Y VIGILANCIA (FEDERAL),0.5,12/06/2013,24/09/2014
94,SIDUR-PF-15-075.13,4,1,8,0.5,5871.73,8,0.5% INSPECCION Y VIGILANCIA (FEDERAL),0.5,12/06/2013,24/09/2014
95,SIDUR-PF-15-077.15,2,1,8,0.5,3933.92,8,0.5% INSPECCION Y VIGILANCIA (FEDERAL),0.5,12/06/2013,24/09/2014
96,SIDUR-PF-15-084.12,1,1,8,0.5,1218.56,8,0.5% INSPECCION Y VIGILANCIA (FEDERAL),0.5,12/06/2013,24/09/2014
97,SIDUR-PF-15-084.12,2,1,8,0.5,2719.94,8,0.5% INSPECCION Y VIGILANCIA (FEDERAL),0.5,12/06/2013,24/09/2014
98,SIDUR-PF-15-082.26,1,1,8,0.5,834.89,8,0.5% INSPECCION Y VIGILANCIA (FEDERAL),0.5,12/06/2013,24/09/2014
99,SIDUR-PF-15-080.22,1,1,8,0.5,3494.8,8,0.5% INSPECCION Y VIGILANCIA (FEDERAL),0.5,12/06/2013,24/09/2014
100,SIDUR-PF-15-080.22,2,1,8,0.5,2731.24,8,0.5% INSPECCION Y VIGILANCIA (FEDERAL),0.5,12/06/2013,24/09/2014
101,SIDUR-PF-15-073.19,2,1,8,0.5,6944.32,8,0.5% INSPECCION Y VIGILANCIA (FEDERAL),0.5,12/06/2013,24/09/2014
102,SIDUR-ED-15-042.33,3,1,15,0.2,552.84,15,0.2% (DOS AL MILLAR) INSTITUTO DE CAPACITACION DE LA INDUSTRIA DE LA CONSTRUCCION,0.2,24/09/2014,
103,SIDUR-ED-15-042.33,3,1,14,0.2,552.84,14,0.2% INSPECCION Y VIGILANCIA (ESTATAL),0.2,24/09/2014,24/09/2014
104,SIDUR-ED-15-042.33,3,1,13,0.03,82.93,13,15 % INFRAESTRUCTURA EDUCATIVA DEL 0.2% (DOS AL MILLAR) DE INSP. Y VIG. ESTATAL,0.03,02/07/2014,24/09/2014
105,SIDUR-ED-15-042.33,3,1,12,0.03,82.93,12,15 % UNIVERSIDADES DE SONORA DEL 0.2% (DOS AL MILLAR) DE INSP. Y VIG. ESTATAL,0.03,12/06/2013,15/02/2016
106,SIDUR-ED-15-042.33,3,1,11,0.03,82.93,11,15% CECOP DEL 0.2% (DOS AL MILLAR) DE INSP. Y VIG. ESTATAL,0.03,12/06/2013,24/09/2014
112,SIDUR-PF-15-088.41,1,1,8,0.5,14091.02,8,0.5% INSPECCION Y VIGILANCIA (FEDERAL),0.5,12/06/2013,24/09/2014
113,SIDUR-PF-15-087.42,1,1,8,0.5,9374.32,8,0.5% INSPECCION Y VIGILANCIA (FEDERAL),0.5,12/06/2013,24/09/2014
114,SIDUR-PF-15-082.26,2,1,8,0.5,2246.68,8,0.5% INSPECCION Y VIGILANCIA (FEDERAL),0.5,12/06/2013,24/09/2014
115,SIDUR-PF-15-085.16,3,1,8,0.5,1965.4,8,0.5% INSPECCION Y VIGILANCIA (FEDERAL),0.5,12/06/2013,24/09/2014
117,SIDUR-ED-16-003.46,1,1,15,0.2,5997.76,15,0.2% (DOS AL MILLAR) INSTITUTO DE CAPACITACION DE LA INDUSTRIA DE LA CONSTRUCCION,0.2,24/09/2014,
118,SIDUR-ED-16-003.46,1,1,14,0.2,5997.76,14,0.2% INSPECCION Y VIGILANCIA (ESTATAL),0.2,24/09/2014,24/09/2014
119,SIDUR-ED-16-003.46,1,1,13,0.03,899.66,13,15 % INFRAESTRUCTURA EDUCATIVA DEL 0.2% (DOS AL MILLAR) DE INSP. Y VIG. ESTATAL,0.03,02/07/2014,24/09/2014
120,SIDUR-ED-16-003.46,1,1,12,0.03,899.66,12,15 % UNIVERSIDADES DE SONORA DEL 0.2% (DOS AL MILLAR) DE INSP. Y VIG. ESTATAL,0.03,12/06/2013,15/02/2016
121,SIDUR-ED-16-003.46,1,1,11,0.03,899.66,11,15% CECOP DEL 0.2% (DOS AL MILLAR) DE INSP. Y VIG. ESTATAL,0.03,12/06/2013,24/09/2014
122,SIDUR-PF-15-065.34,1,1,8,0.5,14879.34,8,0.5% INSPECCION Y VIGILANCIA (FEDERAL),0.5,12/06/2013,24/09/2014
123,SIDUR-PF-15-071.18,1,1,8,0.5,12411.78,8,0.5% INSPECCION Y VIGILANCIA (FEDERAL),0.5,12/06/2013,24/09/2014
124,SIDUR-PF-15-084.12,3,1,8,0.5,2965.83,8,0.5% INSPECCION Y VIGILANCIA (FEDERAL),0.5,12/06/2013,24/09/2014
125,SIDUR-PF-15-075.13,5,1,8,0.5,7166.54,8,0.5% INSPECCION Y VIGILANCIA (FEDERAL),0.5,12/06/2013,24/09/2014
127,SIDUR-ED-16-003.46,2,1,15,0.2,9012.98,15,0.2% (DOS AL MILLAR) INSTITUTO DE CAPACITACION DE LA INDUSTRIA DE LA CONSTRUCCION,0.2,24/09/2014,
128,SIDUR-ED-16-003.46,2,1,14,0.2,9012.98,14,0.2% INSPECCION Y VIGILANCIA (ESTATAL),0.2,24/09/2014,24/09/2014
129,SIDUR-ED-16-003.46,2,1,13,0.03,1351.95,13,15 % INFRAESTRUCTURA EDUCATIVA DEL 0.2% (DOS AL MILLAR) DE INSP. Y VIG. ESTATAL,0.03,02/07/2014,24/09/2014
130,SIDUR-ED-16-003.46,2,1,12,0.03,1351.95,12,15 % UNIVERSIDADES DE SONORA DEL 0.2% (DOS AL MILLAR) DE INSP. Y VIG. ESTATAL,0.03,12/06/2013,15/02/2016
131,SIDUR-ED-16-003.46,2,1,11,0.03,1351.95,11,15% CECOP DEL 0.2% (DOS AL MILLAR) DE INSP. Y VIG. ESTATAL,0.03,12/06/2013,24/09/2014
132,SIDUR-ED-15-039.8,4,1,15,0.2,690.6,15,0.2% (DOS AL MILLAR) INSTITUTO DE CAPACITACION DE LA INDUSTRIA DE LA CONSTRUCCION,0.2,24/09/2014,
133,SIDUR-ED-15-039.8,4,1,14,0.2,690.6,14,0.2% INSPECCION Y VIGILANCIA (ESTATAL),0.2,24/09/2014,24/09/2014
134,SIDUR-ED-15-039.8,4,1,13,0.03,103.59,13,15 % INFRAESTRUCTURA EDUCATIVA DEL 0.2% (DOS AL MILLAR) DE INSP. Y VIG. ESTATAL,0.03,02/07/2014,24/09/2014
135,SIDUR-ED-15-039.8,4,1,12,0.03,103.59,12,15 % UNIVERSIDADES DE SONORA DEL 0.2% (DOS AL MILLAR) DE INSP. Y VIG. ESTATAL,0.03,12/06/2013,15/02/2016
136,SIDUR-ED-15-039.8,4,1,11,0.03,103.59,11,15% CECOP DEL 0.2% (DOS AL MILLAR) DE INSP. Y VIG. ESTATAL,0.03,12/06/2013,24/09/2014
137,SIDUR-PF-15-076.14,2,1,8,0.5,9976.4,8,0.5% INSPECCION Y VIGILANCIA (FEDERAL),0.5,12/06/2013,24/09/2014
138,SIDUR-PF-15-088.41,2,1,8,0.5,2672.8,8,0.5% INSPECCION Y VIGILANCIA (FEDERAL),0.5,12/06/2013,24/09/2014
139,SIDUR-PF-15-088.41,3,1,8,0.5,27363.35,8,0.5% INSPECCION Y VIGILANCIA (FEDERAL),0.5,12/06/2013,24/09/2014
140,SIDUR-PF-15-088.41,4,1,8,0.5,5163.1,8,0.5% INSPECCION Y VIGILANCIA (FEDERAL),0.5,12/06/2013,24/09/2014
143,SIDUR-PF-15-100.21,1,1,8,0.5,18031.03,8,0.5% INSPECCION Y VIGILANCIA (FEDERAL),0.5,12/06/2013,24/09/2014
145,SIDUR-ED-16-048.93,1,1,14,0.2,480.92,14,0.2% INSPECCION Y VIGILANCIA (ESTATAL),0.2,24/09/2014,24/09/2014
146,SIDUR-ED-16-048.93,1,1,13,0.03,72.14,13,15 % INFRAESTRUCTURA EDUCATIVA DEL 0.2% (DOS AL MILLAR) DE INSP. Y VIG. ESTATAL,0.03,02/07/2014,24/09/2014
147,SIDUR-ED-16-048.93,1,1,12,0.03,72.14,12,15 % UNIVERSIDADES DE SONORA DEL 0.2% (DOS AL MILLAR) DE INSP. Y VIG. ESTATAL,0.03,12/06/2013,15/02/2016
148,SIDUR-ED-16-048.93,1,1,11,0.03,72.14,11,15% CECOP DEL 0.2% (DOS AL MILLAR) DE INSP. Y VIG. ESTATAL,0.03,12/06/2013,24/09/2014
149,SIDUR-PF-15-064.31,1,1,8,0.5,16343.1,8,0.5% INSPECCION Y VIGILANCIA (FEDERAL),0.5,12/06/2013,24/09/2014
150,SIDUR-PF-15-064.31,2,1,8,0.5,3343.18,8,0.5% INSPECCION Y VIGILANCIA (FEDERAL),0.5,12/06/2013,24/09/2014
151,SIDUR-PF-15-100.21,2,1,8,0.5,1607.37,8,0.5% INSPECCION Y VIGILANCIA (FEDERAL),0.5,12/06/2013,24/09/2014
152,SIDUR-ED-16-005.51,1,1,15,0.2,1075.66,15,0.2% (DOS AL MILLAR) INSTITUTO DE CAPACITACION DE LA INDUSTRIA DE LA CONSTRUCCION,0.2,24/09/2014,
153,SIDUR-ED-16-005.51,1,1,14,0.2,1075.66,14,0.2% INSPECCION Y VIGILANCIA (ESTATAL),0.2,24/09/2014,24/09/2014
154,SIDUR-ED-16-005.51,1,1,13,0.03,161.35,13,15 % INFRAESTRUCTURA EDUCATIVA DEL 0.2% (DOS AL MILLAR) DE INSP. Y VIG. ESTATAL,0.03,02/07/2014,24/09/2014
155,SIDUR-ED-16-005.51,1,1,12,0.03,161.35,12,15 % UNIVERSIDADES DE SONORA DEL 0.2% (DOS AL MILLAR) DE INSP. Y VIG. ESTATAL,0.03,12/06/2013,15/02/2016
