Prog_Id,num_contrato,Prog_Del,Prog_Al,Prog_Monto
2386,SIDUR-ED-16-273.300,20160825,20160908,104919.34
2387,SIDUR-ED-16-222.312,20160722,20160811,23143.34
2388,SIDUR-ED-16-222.312,20160812,20160831,47062.82
2389,SIDUR-ED-16-222.312,20160901,20160922,200013.53
2390,SIDUR-ED-16-222.312,20160923,20161020,107338.3
2391,SIDUR-ED-16-222.312,20161021,20161118,42415.23
2392,SIDUR-ED-16-312.263,20160901,20160930,90299.37
2393,SIDUR-ED-16-313.255,20160901,20160930,124304.77
2394,SIDUR-ED-16-311.284,20160901,20160930,98096.25
2397,SIDUR-ED-16-259.256,20160719,20160731,46491.09
2398,SIDUR-ED-16-259.256,20160801,20160819,20469.09
2401,SIDUR-ED-16-259.256,20160820,20160901,23227.43
2403,SIDUR-ED-16-290.314,20160822,20160920,64654.24
2404,SIDUR-ED-16-289.307,20160822,20160920,51722.71
2405,SIDUR-ED-16-157.483,20160601,20160630,58578.44
2406,SIDUR-ED-16-157.483,20160701,20160730,46542.24
2421,SIDUR-PF-16-321.464,20160929,20160930,7953.94
2422,SIDUR-PF-16-321.464,20161001,20161031,83516.37
2423,SIDUR-PF-16-321.464,20161101,20161130,87493.34
2424,SIDUR-PF-16-321.464,20161201,20161231,87493.34
2425,SIDUR-PF-16-321.464,20170101,20170126,79540.69
2450,SIDUR-ED-16-041.140,20161001,20161031,0
2451,SIDUR-ED-16-041.140,20161101,20161130,18854253.11
2452,SIDUR-ED-16-041.140,20161201,20161206,17233955.64
2453,SIDUR-ED-16-042.127,20161001,20161031,0
2454,SIDUR-ED-16-042.127,20161101,20161130,24478410.35
2455,SIDUR-ED-16-042.127,20161201,20161206,14302330.97
2461,SIDUR-ED-16-286.254,20160822,20160830,33693.59
2462,SIDUR-ED-16-286.254,20160831,20160910,33792.37
2463,SIDUR-ED-16-286.254,20160911,20160922,17027.53
2464,SIDUR-ED-16-286.254,20160923,20161020,38728.55
2465,SIDUR-ED-16-285.258,20160822,20160831,32718.68
2466,SIDUR-ED-16-285.258,20160901,20160915,29161.16
2469,SIDUR-ED-16-285.258,20160916,20160927,13371.23
2470,SIDUR-ED-16-285.258,20160928,20161020,23460.87
2471,SIDUR-ED-16-284.276,20160822,20160831,48776.88
2472,SIDUR-ED-16-284.276,20160901,20160910,55623.08
2473,SIDUR-ED-16-284.276,20160911,20160920,39137.21
2474,SIDUR-ED-16-284.276,20160921,20161020,68810.19
2476,SIDUR-ED-16-212.228,20160920,20161008,17156.56
2477,SIDUR-ED-16-212.228,20161009,20161109,364303.93
2478,SIDUR-ED-16-212.228,20161110,20161120,389466.83
2479,SIDUR-ED-16-212.228,20161121,20161130,183006.99
2480,SIDUR-ED-16-212.228,20161201,20161215,392130.33
2481,SIDUR-ED-16-373.267,20161019,20161110,138814
2482,SIDUR-ED-16-373.267,20161111,20161217,144825.13
2483,SIDUR-ED-16-216.192,20160718,20160731,354163.97
2484,SIDUR-ED-16-216.192,20160801,20160816,354163.97
