id,id_adjudicacion,id_partida,importe,importe_iva,total
136,354,888,65298.67,10447.79,75746.46
137,354,889,32091.23,5134.60,37225.83
138,354,890,29858.79,4777.41,34636.20
139,355,891,31896.67,5103.47,37000.14
140,355,892,30384.98,4861.60,35246.58
141,355,893,23733.54,3797.37,27530.91
142,355,894,13000.54,2080.09,15080.63
143,355,895,21919.51,3507.12,25426.63
144,356,1036,754858.00,120777.28,875635.28
145,357,612,76481.17,12236.99,88718.16
146,357,613,136366.77,21818.68,158185.45
147,358,611,120864.70,19338.35,140203.05
148,358,610,124273.87,19883.82,144157.69
149,359,607,76481.17,12236.99,88718.16
150,359,608,76481.17,12236.99,88718.16
151,359,614,76481.17,12236.99,88718.16
152,360,603,87929.96,14068.79,101998.75
153,361,604,93101.67,14896.27,107997.94
154,362,606,89322.92,14291.67,103614.59
155,363,520,252913.85,40466.22,293380.07
156,364,522,135464.91,21674.39,157139.30
157,365,1076,455961.78,72953.88,528915.66
158,366,1135,249985.12,39997.62,289982.74
159,367,1064,173991.22,27838.60,201829.82
160,368,1063,487945.29,78071.25,566016.54
161,369,1088,430719.72,68915.16,499634.88
162,370,1050,314021.44,50243.43,364264.87
163,371,1053,547236.96,87557.91,634794.87
164,372,1080,161417.51,25826.80,187244.31
165,373,1078,601837.69,96294.03,698131.72
166,374,1046,220406.45,35265.03,255671.48
167,375,1045,647900.81,103664.13,751564.94
168,376,1029,139143.55,22262.97,161406.52
169,377,1145,172399.95,27583.99,199983.94
170,378,1352,319035.04,51045.61,370080.65
171,379,1353,319107.16,51057.15,370164.31
172,380,1354,206333.40,33013.34,239346.74
173,381,1355,318388.20,50942.11,369330.31
174,382,1051,701080.29,112172.85,813253.14
175,383,1351,318736.55,50997.85,369734.40
176,384,1349,162302.76,25968.44,188271.20
177,385,1052,598522.51,95763.60,694286.11
178,386,1245,267270.81,42763.33,310034.14
179,387,1058,798594.45,127775.11,926369.56
180,388,1359,668437.33,106949.97,775387.30
181,389,1059,1121208.40,179393.34,1300601.74
182,390,1057,300000.00,48000.00,348000.00
183,390,1111,64990.04,10398.41,75388.45
184,391,1057,214000.00,34240.00,248240.00
185,391,1111,150990.04,24158.41,175148.45
186,392,1248,325462.22,52073.96,377536.18
187,393,1030,754246.16,120679.39,874925.55
188,394,1379,90464.26,14474.28,104938.54
189,394,1380,110418.00,17666.88,128084.88
190,394,1422,98370.36,15739.26,114109.62
191,395,1412,60468.32,9674.93,70143.25
192,395,1416,120058.28,19209.32,139267.60
193,396,1454,37107.72,5937.24,43044.96
194,397,1428,81394.72,13023.16,94417.88
195,397,1455,37108.53,5937.36,43045.89
196,398,1410,123514.80,19762.37,143277.17
197,398,1450,83496.30,13359.41,96855.71
198,399,1368,547327.96,87572.47,634900.43
199,400,1381,137973.24,22075.72,160048.96
200,400,1385,34449.50,5511.92,39961.42
201,401,1388,78718.84,12595.01,91313.85
202,402,1467,145896.94,23343.51,169240.45
203,403,1468,137736.96,22037.91,159774.87
204,404,1397,55237.52,8838.00,64075.52
205,404,1403,22057.28,3529.16,25586.44
206,404,1433,58436.28,9349.80,67786.08
207,404,1439,102603.80,16416.61,119020.41
208,404,1458,23579.34,3772.69,27352.03
209,405,1404,74355.60,11896.90,86252.50
210,405,1420,42996.45,6879.43,49875.88
211,405,1460,19701.78,3152.28,22854.06
212,406,1395,142201.60,22752.26,164953.86
213,407,1383,39472.16,6315.55,45787.71
214,407,1384,52493.02,8398.88,60891.90
215,407,1408,71025.80,11364.13,82389.93
216,407,1431,15284.50,2445.52,17730.02
217,407,1456,29081.28,4653.00,33734.28
218,408,1466,35950.69,5752.11,41702.80
219,409,1461,99421.92,15907.51,115329.43
220,409,1462,130647.40,20903.58,151550.98
221,410,1377,103530.00,16564.80,120094.80
222,410,1378,81443.60,13030.98,94474.58
223,410,1421,91106.40,14577.02,105683.42
224,411,1402,53687.79,8590.05,62277.84
225,411,1423,45428.13,7268.50,52696.63
226,411,1457,59133.44,9461.35,68594.79
227,412,1401,140740.48,22518.48,163258.96
228,412,1418,20649.15,3303.86,23953.01
229,412,1424,104202.22,16672.36,120874.58
230,413,1446,97109.10,15537.46,112646.56
232,414,1405,54135.63,8661.70,62797.33
233,414,1442,31662.03,5065.92,36727.95
234,414,1443,31662.03,5065.92,36727.95
235,414,1444,13766.10,2202.58,15968.68
236,414,1445,22025.76,3524.12,25549.88
237,415,1386,39921.69,6387.47,46309.16
238,415,1417,57756.83,9241.09,66997.92
239,416,1453,97977.08,15676.33,113653.41
240,417,1392,34205.18,5472.83,39678.01
241,417,1451,27532.20,4405.15,31937.35
242,418,1391,69861.56,11177.85,81039.41
243,418,1393,136023.81,21763.81,157787.62
244,418,1437,63837.82,10214.05,74051.87
245,419,1394,145593.33,23294.93,168888.26
246,419,1436,38546.67,6167.47,44714.14
247,420,1463,145160.00,23225.60,168385.60
248,421,1400,108423.11,17347.70,125770.81
249,421,1419,85571.22,13691.40,99262.62
250,421,1430,122279.82,19564.77,141844.59
251,422,1406,145174.24,23227.88,168402.12
252,422,1411,135026.18,21604.19,156630.37
253,423,1435,38877.64,6220.42,45098.06
254,423,1448,137964.88,22074.38,160039.26
255,424,1432,100121.64,16019.46,116141.10
256,425,1452,71141.16,11382.59,82523.75
257,426,1379,90464.26,14474.28,104938.54
258,426,1380,110418.00,17666.88,128084.88
259,426,1422,98370.36,15739.26,114109.62
260,427,1389,79385.54,12701.69,92087.23
261,427,1390,121362.30,19417.97,140780.27
262,428,1407,54123.34,8659.73,62783.07
263,428,1414,14103.10,2256.50,16359.60
264,429,1459,12325.95,1972.15,14298.10
265,430,1382,36379.66,5820.75,42200.41
266,430,1398,40159.50,6425.52,46585.02
267,430,1426,21958.08,3513.29,25471.37
268,430,1441,40159.50,6425.52,46585.02
269,431,1387,34151.95,5464.31,39616.26
270,431,1399,40694.39,6511.10,47205.49
271,431,1425,38370.82,6139.33,44510.15
272,431,1449,34398.00,5503.68,39901.68
273,432,1469,101159.80,16185.57,117345.37
274,433,1409,54318.78,8691.00,63009.78
275,434,1415,144832.45,23173.19,168005.64
276,435,1485,149097.78,23855.64,172953.42
277,436,1486,159387.99,25502.08,184890.07
278,437,1487,273817.92,43810.87,317628.79
279,438,1488,153883.07,24621.29,178504.36
280,439,1490,186527.72,29844.44,216372.16
281,440,1489,191295.23,30607.24,221902.47
282,441,1373,898241.07,143718.57,1041959.64
283,442,1491,47003.28,7520.52,54523.80
284,443,1476,560126.00,89620.16,649746.16
285,444,1427,93953.33,15032.53,108985.86
286,444,1429,97146.67,15543.47,112690.14
287,445,1464,71160.00,11385.60,82545.60
288,445,1465,87940.00,14070.40,102010.40
289,446,1471,104116.67,16658.67,120775.34
290,447,1473,115588.30,18494.13,134082.43
291,448,1472,15732.26,2517.16,18249.42
292,449,1492,38713.98,6194.24,44908.22
293,450,1493,87595.13,14015.22,101610.35
294,451,1509,233647.50,37383.60,271031.10
297,452,1510,137931.04,22068.97,160000.01
298,453,1438,59357.36,9497.18,68854.54
299,454,1521,239086.20,38253.79,277339.99
300,455,1039,422998.81,67679.81,490678.62
301,456,1247,188427.59,30148.41,218576.00
302,457,1534,213125.33,34100.05,247225.38
303,458,1537,75477.20,12076.35,87553.55
304,459,1538,614524.21,98323.87,712848.08
305,460,1470,127956.45,20473.03,148429.48
306,461,1366,149663.23,23946.12,173609.35
307,462,1535,436900.00,69904.00,506804.00
308,463,1536,799882.72,127981.24,927863.96
309,464,1546,108766.85,17402.70,126169.55
310,465,1519,81842.08,13094.73,94936.81
311,466,1557,197991.06,31678.57,229669.63
312,467,1553,781219.37,124995.10,906214.47
313,468,1563,770384.03,123261.44,893645.47
